eg,chemsys,nelements,formula
0.0,N-Sn-Zn,3,Zn(SnN)2
1.0250999999999992,O-Sn-Zn,3,Zn(SnO2)2
0.0,O-Sn-Zn,3,Zn(SnO2)2
1.1372999999999998,O-Sn-Zn,3,Zn(SnO2)2
2.0424,O-Sn-Zn,3,Zn(SnO2)2
0.0,O-Sn-Zn,3,Zn(SnO2)2
0.0724999999999997,O-Sn-Zn,3,Zn(SnO2)2
0.0,O-Sn-Zn,3,Zn(SnO2)2
0.0,O-Sn-Zn,3,Zn(SnO2)2
0.0,O-Sn-Zn,3,Zn(SnO2)2
0.0,O-Sn-Zn,3,Zn(SnO2)2
0.4380999999999995,O-Sn-Zn,3,Zn(SnO2)4
0.5472999999999999,O-Sn-Zn,3,Zn(SnO2)4
0.0,O-Sn-Zn,3,Zn(SnO2)4
0.0,O-W-Zn,3,Zn(W2O3)2
0.0,N-W-Zn,3,Zn(WN)2
0.1557000000000004,O-W-Zn,3,Zn(WO2)2
1.2928999999999995,O-W-Zn,3,Zn(WO2)2
0.0,O-W-Zn,3,Zn(WO2)2
0.6427999999999998,O-W-Zn,3,Zn(WO2)2
0.1429999999999998,O-W-Zn,3,Zn(WO2)2
0.7790000000000004,O-W-Zn,3,Zn(WO2)2
0.0,O-W-Zn,3,Zn(WO2)2
0.1478999999999999,O-W-Zn,3,Zn(WO2)2
0.0893999999999999,O-W-Zn,3,Zn(WO2)2
0.0,O-W-Zn,3,Zn(WO2)4
0.1539999999999999,O-W-Zn,3,Zn(WO2)4
0.1973000000000002,O-W-Zn,3,Zn(WO2)4
0.4001000000000001,O-W-Zn,3,Zn(WO3)2
0.2909999999999999,Se-W-Zn,3,Zn(WSe2)2
0.0,Fe-Zn,2,Zn10Fe3
0.0,Pd-Zn,2,Zn10Pd3
0.0,Co-Zn,2,Zn11Co2
0.0,Ir-Zn,2,Zn11Ir2
0.0,Ni-Zn,2,Zn11Ni2
0.0,Rh-Zn,2,Zn11Rh2
0.0,Ru-Sb-Zn,3,Zn11SbRu3
0.0,Co-Zn,2,Zn13Co
0.0,Fe-Zn,2,Zn13Fe
0.0,Fe-Zn,2,Zn13Fe
0.0,Rh-Zn,2,Zn13Rh
0.0,B-Rh-Zn,3,Zn15B6Rh17
0.0,Ni-Zn,2,Zn22Ni3
0.0,Ag-Zn,2,Zn2Ag
0.0,Ag-O-Zn,3,Zn2Ag2O5
0.0,Ag-Au-Zn,3,Zn2AgAu
0.0,Ag-Au-Zn,3,Zn2AgAu
0.0371999999999999,Ag-O-Sb-Zn,4,Zn2AgSbO6
0.1281000000000001,Ag-O-W-Zn,4,Zn2AgWO6
0.0,Ag-O-W-Zn,4,Zn2AgWO6
0.0374999999999998,Ag-O-W-Zn,4,Zn2AgWO6
0.0,As-Zn,2,Zn2As
1.7632,As-O-Zn,3,Zn2As2O7
0.0,As-O-Pb-Zn,4,Zn2As2PbO10
1.9675,As-H-O-Zn,4,Zn2AsHO5
0.0,As-O-Zn,3,Zn2AsO5
0.0,As-O-Zn,3,Zn2AsO5
0.0,B-Ir-Zn,3,Zn2BIr2
0.0,B-O-Zn,3,Zn2BO4
1.1643,Bi-O-Zn,3,Zn2Bi2O5
0.0,Bi-O-Zn,3,Zn2Bi3O8
0.0,Bi-O-Zn,3,Zn2Bi3O8
0.0400999999999998,Bi-N-Zn,3,Zn2BiN3
0.0,Bi-O-Zn,3,Zn2BiO6
1.0804999999999998,Bi-O-Sb-Zn,4,Zn2BiSbO6
2.067,Bi-O-W-Zn,4,Zn2BiWO6
1.5619999999999998,Bi-O-W-Zn,4,Zn2BiWO6
1.8521,Br-N-Zn,3,Zn2BrN
2.4333,B-Cd-O-Zn,4,Zn2Cd(BO3)2
0.0827,Cd-N-Zn,3,Zn2CdN2
0.3376000000000001,Cd-N-Zn,3,Zn2CdN2
0.0,Cl-O-Zn,3,Zn2Cl5O2
0.0,Cl-O-Zn,3,Zn2Cl5O2
0.6007,Co-O-Zn,3,Zn2Co2O5
0.0,Co-O-Zn,3,Zn2Co3O8
0.4801999999999999,Co-O-Zn,3,Zn2Co3O8
0.0247999999999999,Co-O-Zn,3,Zn2Co3O8
0.0,Co-O-Zn,3,Zn2Co9O13
0.0,Co-Ir-O-Zn,4,Zn2CoIrO6
0.0,Co-N-Zn,3,Zn2CoN2
0.0,Co-S-Zn,3,Zn2CoS3
0.4345000000000003,Co-O-Sb-Zn,4,Zn2CoSbO6
2.3129000000000004,Co-O-W-Zn,4,Zn2CoWO6
1.6911999999999998,Co-O-W-Zn,4,Zn2CoWO6
2.374,Co-O-W-Zn,4,Zn2CoWO6
0.6607000000000003,Cr-O-Zn,3,Zn2Cr2O5
0.0,Cr-Fe-O-Zn,4,Zn2Cr3FeO8
0.4507999999999996,Cr-Ga-Se-Zn,4,Zn2Cr3GaSe8
0.6479000000000001,Cr-O-Zn,3,Zn2Cr3O8
0.0,Cr-O-Zn,3,Zn2Cr3O8
0.7738,Cr-O-P-Zn,4,Zn2Cr5(PO4)6
0.0,Cr-O-Zn,3,Zn2Cr9O13
1.6213000000000002,Cr-Fe-O-Zn,4,Zn2CrFe3O8
0.0,Cr-Ir-O-Zn,4,Zn2CrIrO6
0.0,Cr-N-Zn,3,Zn2CrN2
0.0,Cr-N-Zn,3,Zn2CrN3
1.8597,Cr-O-Sb-Zn,4,Zn2CrSbO6
1.4293999999999998,Cr-O-W-Zn,4,Zn2CrWO6
1.9752,Cr-O-W-Zn,4,Zn2CrWO6
1.6192000000000002,Cr-O-W-Zn,4,Zn2CrWO6
0.4821000000000002,As-Cu-O-Zn,4,Zn2Cu(AsO4)2
0.0,Cu-O-Zn,3,Zn2Cu2O5
0.0,Cu-O-Zn,3,Zn2Cu9O13
0.0,Au-Cu-Zn,3,Zn2CuAu
0.0,Au-Cu-Zn,3,Zn2CuAu
0.0,Cu-Ir-Zn,3,Zn2CuIr
0.0,Cu-Ir-O-Zn,4,Zn2CuIrO6
0.0,Cu-N-Zn,3,Zn2CuN2
0.0,Cu-Ni-Zn,3,Zn2CuNi
0.0,Cu-Pt-Zn,3,Zn2CuPt
0.0,Cu-Rh-Zn,3,Zn2CuRh
