ID,composition,source,temperature,target,family,ChemicalFamily,0
327.0,Li0.2Zr1.2Nb0.8(PO4)3,10.1016/0025-5408(89)90129-3,25.0,2.38e-07,NASICON,Oxides,
328.0,Li3Fe2(PO4)3,10.1016/0167-2738(83)90101-7,50.0,5.6e-08,NASICON,,
329.0,Li3Cr2(PO4)3,10.1016/0167-2738(83)90101-7,50.0,2.5e-08,NASICON,,
332.0,Li1.6Ga0.6Ti1.4(PO4)3,10.1016/0167-2738(86)90176-1,25.0,1.3e-05,NASICON,Oxides,
333.0,Li1.2Sc0.2Ti1.8(PO4)3,10.1016/0167-2738(86)90179-7,25.0,0.000246,NASICON,Oxides,
334.0,Li1.8Sc0.8Ti1.2(PO4)3,10.1016/0167-2738(86)90179-7,25.0,0.00088,NASICON,Oxides,
335.0,Li1.3Sc0.3Ti1.7(PO4)3,10.1016/0167-2738(86)90179-7,25.0,0.000568,NASICON,Oxides,
336.0,Li1.1Sc0.1Ti1.9(PO4)3,10.1016/0167-2738(86)90179-7,25.0,0.000158,NASICON,Oxides,
337.0,Li1.2Sc0.2Ti1.6Zr0.2(PO4)3,10.1016/0167-2738(86)90179-7,25.0,0.00012,NASICON,Oxides,
338.0,LiTi1.75Zr0.25(PO4)3,10.1016/0167-2738(90)90188-W,154.0,7.35e-05,NASICON,,
339.0,Li1.3In0.3Hf1.7(PO4)3,10.1016/0167-2738(86)90179-7,25.0,1e-05,NASICON,Oxides,
340.0,LiTi0.2Zr1.8(PO4)3,10.1016/0167-2738(86)90179-7,25.0,5.6e-08,NASICON,Oxides,
341.0,Li1.2Sc0.2Ti0.2Zr1.5(PO4)3,10.1016/0167-2738(86)90179-7,25.0,3.1e-07,NASICON,Oxides,
342.0,LiTi1.8Zr0.2(PO4)3,10.1016/0167-2738(86)90179-7,25.0,8.5e-08,NASICON,Oxides,
343.0,LiTi0.5Zr1.5(PO4)3,10.1016/0167-2738(86)90179-7,25.0,6.2e-08,NASICON,Oxides,
344.0,LiTi0.5Zr1.5(PO4)3,10.1016/0167-2738(86)90179-7,300.0,0.00052,NASICON,,
346.0,LiTiZr(PO4)3,10.1016/0167-2738(86)90179-7,25.0,4e-08,NASICON,Oxides,
348.0,LiTi0.1Zr1.9(PO4)3,10.1016/0167-2738(86)90179-7,25.0,3.2e-08,NASICON,Oxides,
349.0,Li1.35In0.35Ti1.65(PO4)3,10.1016/0167-2738(86)90183-9,300.0,0.021,NASICON,,
350.0,Li1.2Al1.1Ta0.9(PO4)3,10.1039/A807007E,30.0,6.5e-07,NASICON,Oxides,
351.0,LiAlTa(PO4)3,10.1039/A807007E,30.0,6.5e-07,NASICON,Oxides,
352.0,Li2.8In1.8Ti0.2(PO4)3,10.1016/0167-2738(86)90183-9,300.0,0.00824,NASICON,,
353.0,LiFeTa(PO4)3,10.1039/A807007E,350.0,0.000335,NASICON,,
354.0,LiCrTa(PO4)3,10.1039/A807007E,61.0,3.16e-07,NASICON,,
355.0,Li1.8Cr0.8Ti1.2(PO4)3,10.1016/0167-2738(88)90291-3,300.0,0.0048,NASICON,,
358.0,Li1.5Cr0.5Ti1.5(PO4)3,10.1149/1.2086597,25.0,0.000391,NASICON,Oxides,
359.0,Li1.6Cr0.6Ti1.4(PO4)3,10.1149/1.2086597,25.0,0.000147,NASICON,Oxides,
360.0,Li1.3Cr0.3Ti1.7 (PO4)3,10.1149/1.2086597,25.0,3.53e-05,NASICON,Oxides,
361.0,Li1.3Cr0.3Ge1.7(PO4)3,10.1016/0167-2738(88)90368-2,25.0,3.69e-05,NASICON,Oxides,
362.0,Li3Al0.4Sc1.6(PO4)3,10.1016/0167-2738(93)90015-U,25.0,1.28e-05,NASICON,Oxides,
363.0,Li1.2Fe0.2Hf1.8(PO4)3,10.1016/0167-2738(93)90387-I,25.0,0.00017,NASICON,Oxides,
364.0,Li1.2In0.2Hf1.8(PO4)3,10.1016/0167-2738(93)90387-I,25.0,0.000132,NASICON,Oxides,
365.0,Li1.3In0.3Hf1.7(PO4)3,10.1016/0167-2738(93)90387-I,25.0,0.000142,NASICON,Oxides,
366.0,Li1.4In0.4Hf1.6(PO4)3,10.1016/0167-2738(93)90387-I,25.0,0.000142,NASICON,Oxides,
367.0,Li1.1Fe0.1Hf1.9(PO4)3,10.1016/0167-2738(93)90387-I,25.0,0.000107,NASICON,Oxides,
368.0,Li1.2Lu0.2Hf1.8(PO4)3,10.1016/0167-2738(93)90387-I,25.0,9.79e-05,NASICON,Oxides,
369.0,Li1.2Y0.2Hf1.8(PO4)3,10.1016/0167-2738(93)90387-I,25.0,3.19e-05,NASICON,Oxides,
370.0,Li1.1Y0.1Hf1.9(PO4)3,10.1016/0167-2738(93)90387-I,25.0,9.18e-05,NASICON,Oxides,
371.0,Li1.2Sc0.2Hf1.8(PO4)3,10.1016/0167-2738(93)90387-I,25.0,5.86e-05,NASICON,Oxides,
372.0,Li1.3Sc0.3Hf1.7(PO4)3,10.1016/0167-2738(93)90387-I,25.0,8.32e-05,NASICON,Oxides,
373.0,Li1.1Lu0.1Hf1.9(PO4)3,10.1016/0167-2738(93)90387-I,25.0,5.88e-05,NASICON,Oxides,
374.0,Li1.4Y0.4Hf1.6(PO4)3,10.1016/0167-2738(93)90387-I,25.0,2.09e-05,NASICON,Oxides,
375.0,Li1.4Sc0.4Hf1.6(PO4)3,10.1016/0167-2738(93)90387-I,25.0,6.17e-05,NASICON,Oxides,
376.0,Li1.3Fe0.3Hf1.7(PO4)3,10.1016/0167-2738(93)90387-I,25.0,5.4e-05,NASICON,Oxides,
377.0,Li1.3Lu0.3Hf1.7(PO4)3,10.1016/0167-2738(93)90387-I,25.0,3.56e-05,NASICON,Oxides,
378.0,Li1.3Y0.3Hf1.7(PO4)3,10.1016/0167-2738(93)90387-I,25.0,3.19e-05,NASICON,Oxides,
379.0,Li1.1Sc0.1Hf1.9(PO4)3,10.1016/0167-2738(93)90387-I,25.0,2.45e-05,NASICON,Oxides,
380.0,Li1.4Lu0.4Hf1.6(PO4)3,10.1016/0167-2738(93)90387-I,25.0,2.06e-05,NASICON,Oxides,
381.0,Li1.1In0.1Hf1.9(PO4)3,10.1016/0167-2738(93)90387-I,25.0,1e-06,NASICON,Oxides,
