functional group,A,A_OS,A',A'_OS,A_HOMO-,A_HOMO+,A_IE-,A_IE+,A_LUMO-,A_LUMO+,A_X-,A_X+,A_Z_radii-,A_Z_radii+,A_e_affin-,A_e_affin+,Bi,B_OS,B',B'_OS,B_HOMO-,B_HOMO+,B_IE-,B_IE+,B_LUMO-,B_LUMO+,B_X-,B_X+,B_Z_radii-,B_Z_radii+,B_e_affin-,B_e_affin+,Insulator,PBE band gap,μ,μĀ,μ𝐵 ̅,stable,t
TlCsHfSiO6,Tl,3,Cs,1,0.129,-2.238,106.799999999999,482.5,0.0804999999999999,-0.6415,0.415,1.205,1.03749999999999,3.2725,7.31,38.19,Hf,4,Si,0.6515,0.6515,-3.4295,55.55,730.95,1.156,-1.618,0.299999999999999,1.6,0.745,2.165,58.3,75.3,0,0.0,0.39643,0.23929,0.11071,1,1.06518
TlCsHfSnO6,Tl,3,Cs,1,0.129,-2.238,106.799999999999,482.5,0.0804999999999999,-0.6415,0.415,1.205,1.03749999999999,3.2725,7.31,38.19,Hf,4,Sn,0.4575,0.4575,-3.2355,16.6,692.0,1.117,-1.657,0.329999999999999,1.63,0.515,2.395,45.149,62.149,0,0.0,0.5,0.23929,0.00714,1,0.99163
TlCsHfTeO6,Tl,3,Cs,1,0.129,-2.238,106.799999999999,482.5,0.0804999999999999,-0.6415,0.415,1.205,1.03749999999999,3.2725,7.31,38.19,Hf,4,Te,1.587,1.587,-4.365,96.9,772.3,1.107,-1.667,0.4,1.7,0.62,2.29,86.6,103.6,0,0.475299999999999,0.6,0.23929,0.09286,1,0.92966
TlCsHfTiO6,Tl,3,Cs,1,0.129,-2.238,106.799999999999,482.5,0.0804999999999999,-0.6415,0.415,1.205,1.03749999999999,3.2725,7.31,38.19,Hf,4,Ti,0.795,0.795,-3.573,8.69999999999998,666.7,0.7265,-3.5005,0.12,1.42,0.165,2.745,4.7,12.3,0,0.0,0.46964,0.23929,0.0375,1,1.01212
TlCsHfZrO6,Tl,3,Cs,1,0.129,-2.238,106.799999999999,482.5,0.0804999999999999,-0.6415,0.415,1.205,1.03749999999999,3.2725,7.31,38.19,Hf,4,Zr,0.445,0.445,-3.223,7.69999999999998,667.7,0.367,-3.141,0.015,1.315,0.0424999999999999,2.8675,12.05,29.05,0,0.0,0.51071,0.23929,0.00357,1,0.9846
TlCsNbInO6,Tl,3,Cs,1,0.129,-2.238,106.799999999999,482.5,0.0804999999999999,-0.6415,0.415,1.205,1.03749999999999,3.2725,7.31,38.19,Nb,5,In,1.0505,1.0505,-3.5665,52.75,611.05,2.01,-2.502,0.0899999999999999,1.69,0.355,2.405,24.5785,61.6215,0,0.000100000000000211,0.51429,0.23929,0.05714,1,0.98228
TlCsNbScO6,Tl,3,Cs,1,0.129,-2.238,106.799999999999,482.5,0.0804999999999999,-0.6415,0.415,1.205,1.03749999999999,3.2725,7.31,38.19,Nb,5,Sc,0.6635,0.6635,-3.9535,16.3999999999999,647.4,0.662499999999999,-3.8495,0.12,1.48,0.00499999999999989,2.755,34.05,52.15,0,0.0,0.49464,0.23929,0.0375,1,0.99519
TlCsNbTaO6,Tl,3,Cs,1,0.129,-2.238,106.799999999999,482.5,0.0804999999999999,-0.6415,0.415,1.205,1.03749999999999,3.2725,7.31,38.19,Nb,5,Ta,0.482499999999999,0.482499999999999,-4.1345,48.75,712.55,0.482999999999999,-4.029,0.05,1.55,0.0150000000000001,2.775,27.6,58.6,1,0.6638,0.48571,0.23929,0.02857,1,1.00117
TlCsNbTmO6,Tl,3,Cs,1,0.129,-2.238,106.799999999999,482.5,0.0804999999999999,-0.6415,0.415,1.205,1.03749999999999,3.2725,7.31,38.19,Nb,5,Tm,1.2875,1.2875,-3.3295,33.75,630.05,1.295,-3.21699999999999,0.175,1.425,0.42,3.17999999999999,6.39999999999999,92.6,0,0.0,0.54286,0.23929,0.08571,1,0.96409
TlCsNbYO6,Tl,3,Cs,1,0.129,-2.238,106.799999999999,482.5,0.0804999999999999,-0.6415,0.415,1.205,1.03749999999999,3.2725,7.31,38.19,Nb,5,Y,1.0275,1.0275,-3.5895,24.0999999999999,639.7,1.03999999999999,-3.47199999999999,0.19,1.41,0.09,2.84999999999999,28.3,57.9,0,0.0,0.55,0.23929,0.09286,1,0.95964
